tweet,is_sarcastic
I just adore when my coffee spills all over my laptop.,1
"Perfect, it started raining right after I washed my car.",1
"Sure, because Mondays are everyone’s favorite day.",1
"Oh joy, another ad before my video starts.",1
I’m so thrilled to be ignored again.,1
"Oh sure, I just love when my computer crashes right before a deadline.",1
"Great, another meeting that could've been an email.",1
"Wow, I totally needed this traffic jam in my life.",1
"Oh, wonderful, the internet is down again.",1
"Yeah, because nothing says fun like doing taxes all night.",1
I just adore when my coffee spills all over my laptop.,1
"Perfect, it started raining right after I washed my car.",1
"Sure, because Mondays are everyone’s favorite day.",1
"Oh joy, another ad before my video starts.",1
I’m so thrilled to be ignored again.,1
"Oh sure, I just love when my computer crashes right before a deadline.",1
"Great, another meeting that could've been an email.",1
"Wow, I totally needed this traffic jam in my life.",1
"Oh, wonderful, the internet is down again.",1
"Yeah, because nothing says fun like doing taxes all night.",1
I just adore when my coffee spills all over my laptop.,1
"Perfect, it started raining right after I washed my car.",1
"Sure, because Mondays are everyone’s favorite day.",1
"Oh joy, another ad before my video starts.",1
I’m so thrilled to be ignored again.,1
"Oh sure, I just love when my computer crashes right before a deadline.",1
"Great, another meeting that could've been an email.",1
"Wow, I totally needed this traffic jam in my life.",1
"Oh, wonderful, the internet is down again.",1
"Yeah, because nothing says fun like doing taxes all night.",1
I just adore when my coffee spills all over my laptop.,1
"Perfect, it started raining right after I washed my car.",1
"Sure, because Mondays are everyone’s favorite day.",1
"Oh joy, another ad before my video starts.",1
I’m so thrilled to be ignored again.,1
"Oh sure, I just love when my computer crashes right before a deadline.",1
"Great, another meeting that could've been an email.",1
"Wow, I totally needed this traffic jam in my life.",1
"Oh, wonderful, the internet is down again.",1
"Yeah, because nothing says fun like doing taxes all night.",1
I just adore when my coffee spills all over my laptop.,1
"Perfect, it started raining right after I washed my car.",1
"Sure, because Mondays are everyone’s favorite day.",1
"Oh joy, another ad before my video starts.",1
I’m so thrilled to be ignored again.,1
"Oh sure, I just love when my computer crashes right before a deadline.",1
"Great, another meeting that could've been an email.",1
"Wow, I totally needed this traffic jam in my life.",1
"Oh, wonderful, the internet is down again.",1
"Yeah, because nothing says fun like doing taxes all night.",1
I just adore when my coffee spills all over my laptop.,1
"Perfect, it started raining right after I washed my car.",1
"Sure, because Mondays are everyone’s favorite day.",1
"Oh joy, another ad before my video starts.",1
I’m so thrilled to be ignored again.,1
"Oh sure, I just love when my computer crashes right before a deadline.",1
"Great, another meeting that could've been an email.",1
"Wow, I totally needed this traffic jam in my life.",1
"Oh, wonderful, the internet is down again.",1
"Yeah, because nothing says fun like doing taxes all night.",1
I just adore when my coffee spills all over my laptop.,1
"Perfect, it started raining right after I washed my car.",1
"Sure, because Mondays are everyone’s favorite day.",1
"Oh joy, another ad before my video starts.",1
I’m so thrilled to be ignored again.,1
"Oh sure, I just love when my computer crashes right before a deadline.",1
"Great, another meeting that could've been an email.",1
"Wow, I totally needed this traffic jam in my life.",1
"Oh, wonderful, the internet is down again.",1
"Yeah, because nothing says fun like doing taxes all night.",1
I just adore when my coffee spills all over my laptop.,1
"Perfect, it started raining right after I washed my car.",1
"Sure, because Mondays are everyone’s favorite day.",1
"Oh joy, another ad before my video starts.",1
I’m so thrilled to be ignored again.,1
"Oh sure, I just love when my computer crashes right before a deadline.",1
"Great, another meeting that could've been an email.",1
"Wow, I totally needed this traffic jam in my life.",1
"Oh, wonderful, the internet is down again.",1
"Yeah, because nothing says fun like doing taxes all night.",1
I just adore when my coffee spills all over my laptop.,1
"Perfect, it started raining right after I washed my car.",1
"Sure, because Mondays are everyone’s favorite day.",1
"Oh joy, another ad before my video starts.",1
I’m so thrilled to be ignored again.,1
"Oh sure, I just love when my computer crashes right before a deadline.",1
"Great, another meeting that could've been an email.",1
"Wow, I totally needed this traffic jam in my life.",1
"Oh, wonderful, the internet is down again.",1
"Yeah, because nothing says fun like doing taxes all night.",1
I just adore when my coffee spills all over my laptop.,1
"Perfect, it started raining right after I washed my car.",1
"Sure, because Mondays are everyone’s favorite day.",1
"Oh joy, another ad before my video starts.",1
I’m so thrilled to be ignored again.,1
"Oh sure, I just love when my computer crashes right before a deadline.",1
"Great, another meeting that could've been an email.",1
"Wow, I totally needed this traffic jam in my life.",1
"Oh, wonderful, the internet is down again.",1
"Yeah, because nothing says fun like doing taxes all night.",1
I just adore when my coffee spills all over my laptop.,1
"Perfect, it started raining right after I washed my car.",1
"Sure, because Mondays are everyone’s favorite day.",1
"Oh joy, another ad before my video starts.",1
I’m so thrilled to be ignored again.,1
"Oh sure, I just love when my computer crashes right before a deadline.",1
"Great, another meeting that could've been an email.",1
"Wow, I totally needed this traffic jam in my life.",1
"Oh, wonderful, the internet is down again.",1
"Yeah, because nothing says fun like doing taxes all night.",1
I just adore when my coffee spills all over my laptop.,1
"Perfect, it started raining right after I washed my car.",1
"Sure, because Mondays are everyone’s favorite day.",1
"Oh joy, another ad before my video starts.",1
I’m so thrilled to be ignored again.,1
"Oh sure, I just love when my computer crashes right before a deadline.",1
"Great, another meeting that could've been an email.",1
"Wow, I totally needed this traffic jam in my life.",1
"Oh, wonderful, the internet is down again.",1
"Yeah, because nothing says fun like doing taxes all night.",1
I just adore when my coffee spills all over my laptop.,1
"Perfect, it started raining right after I washed my car.",1
"Sure, because Mondays are everyone’s favorite day.",1
"Oh joy, another ad before my video starts.",1
I’m so thrilled to be ignored again.,1
"Oh sure, I just love when my computer crashes right before a deadline.",1
"Great, another meeting that could've been an email.",1
"Wow, I totally needed this traffic jam in my life.",1
"Oh, wonderful, the internet is down again.",1
"Yeah, because nothing says fun like doing taxes all night.",1
I just adore when my coffee spills all over my laptop.,1
"Perfect, it started raining right after I washed my car.",1
"Sure, because Mondays are everyone’s favorite day.",1
"Oh joy, another ad before my video starts.",1
I’m so thrilled to be ignored again.,1
"Oh sure, I just love when my computer crashes right before a deadline.",1
"Great, another meeting that could've been an email.",1
"Wow, I totally needed this traffic jam in my life.",1
"Oh, wonderful, the internet is down again.",1
"Yeah, because nothing says fun like doing taxes all night.",1
I just adore when my coffee spills all over my laptop.,1
"Perfect, it started raining right after I washed my car.",1
"Sure, because Mondays are everyone’s favorite day.",1
"Oh joy, another ad before my video starts.",1
I’m so thrilled to be ignored again.,1
"Oh sure, I just love when my computer crashes right before a deadline.",1
"Great, another meeting that could've been an email.",1
"Wow, I totally needed this traffic jam in my life.",1
"Oh, wonderful, the internet is down again.",1
"Yeah, because nothing says fun like doing taxes all night.",1
I just adore when my coffee spills all over my laptop.,1
"Perfect, it started raining right after I washed my car.",1
"Sure, because Mondays are everyone’s favorite day.",1
"Oh joy, another ad before my video starts.",1
I’m so thrilled to be ignored again.,1
"Oh sure, I just love when my computer crashes right before a deadline.",1
"Great, another meeting that could've been an email.",1
"Wow, I totally needed this traffic jam in my life.",1
"Oh, wonderful, the internet is down again.",1
"Yeah, because nothing says fun like doing taxes all night.",1
I just adore when my coffee spills all over my laptop.,1
"Perfect, it started raining right after I washed my car.",1
"Sure, because Mondays are everyone’s favorite day.",1
"Oh joy, another ad before my video starts.",1
I’m so thrilled to be ignored again.,1
I had a great time with my friends today.,0
The food at the new restaurant was delicious.,0
I enjoyed watching the movie last night.,0
It’s such a beautiful day outside.,0
I love spending time with my family.,0
The concert last night was amazing.,0
I’m proud of myself for finishing my project.,0
Had a relaxing weekend at home.,0
I appreciate your help with the assignment.,0
Looking forward to my vacation next week.,0
I had a great time with my friends today.,0
The food at the new restaurant was delicious.,0
I enjoyed watching the movie last night.,0
It’s such a beautiful day outside.,0
I love spending time with my family.,0
The concert last night was amazing.,0
I’m proud of myself for finishing my project.,0
Had a relaxing weekend at home.,0
I appreciate your help with the assignment.,0
Looking forward to my vacation next week.,0
I had a great time with my friends today.,0
The food at the new restaurant was delicious.,0
I enjoyed watching the movie last night.,0
It’s such a beautiful day outside.,0
I love spending time with my family.,0
The concert last night was amazing.,0
I’m proud of myself for finishing my project.,0
Had a relaxing weekend at home.,0
I appreciate your help with the assignment.,0
Looking forward to my vacation next week.,0
I had a great time with my friends today.,0
The food at the new restaurant was delicious.,0
I enjoyed watching the movie last night.,0
It’s such a beautiful day outside.,0
I love spending time with my family.,0
The concert last night was amazing.,0
I’m proud of myself for finishing my project.,0
Had a relaxing weekend at home.,0
I appreciate your help with the assignment.,0
Looking forward to my vacation next week.,0
I had a great time with my friends today.,0
The food at the new restaurant was delicious.,0
I enjoyed watching the movie last night.,0
It’s such a beautiful day outside.,0
I love spending time with my family.,0
The concert last night was amazing.,0
I’m proud of myself for finishing my project.,0
Had a relaxing weekend at home.,0
I appreciate your help with the assignment.,0
Looking forward to my vacation next week.,0
I had a great time with my friends today.,0
The food at the new restaurant was delicious.,0
I enjoyed watching the movie last night.,0
It’s such a beautiful day outside.,0
I love spending time with my family.,0
The concert last night was amazing.,0
I’m proud of myself for finishing my project.,0
Had a relaxing weekend at home.,0
I appreciate your help with the assignment.,0
Looking forward to my vacation next week.,0
I had a great time with my friends today.,0
The food at the new restaurant was delicious.,0
I enjoyed watching the movie last night.,0
It’s such a beautiful day outside.,0
I love spending time with my family.,0
The concert last night was amazing.,0
I’m proud of myself for finishing my project.,0
Had a relaxing weekend at home.,0
I appreciate your help with the assignment.,0
Looking forward to my vacation next week.,0
I had a great time with my friends today.,0
The food at the new restaurant was delicious.,0
I enjoyed watching the movie last night.,0
It’s such a beautiful day outside.,0
I love spending time with my family.,0
The concert last night was amazing.,0
I’m proud of myself for finishing my project.,0
Had a relaxing weekend at home.,0
I appreciate your help with the assignment.,0
Looking forward to my vacation next week.,0
I had a great time with my friends today.,0
The food at the new restaurant was delicious.,0
I enjoyed watching the movie last night.,0
It’s such a beautiful day outside.,0
I love spending time with my family.,0
The concert last night was amazing.,0
I’m proud of myself for finishing my project.,0
Had a relaxing weekend at home.,0
I appreciate your help with the assignment.,0
Looking forward to my vacation next week.,0
I had a great time with my friends today.,0
The food at the new restaurant was delicious.,0
I enjoyed watching the movie last night.,0
It’s such a beautiful day outside.,0
I love spending time with my family.,0
The concert last night was amazing.,0
I’m proud of myself for finishing my project.,0
Had a relaxing weekend at home.,0
I appreciate your help with the assignment.,0
Looking forward to my vacation next week.,0
I had a great time with my friends today.,0
The food at the new restaurant was delicious.,0
I enjoyed watching the movie last night.,0
It’s such a beautiful day outside.,0
I love spending time with my family.,0
The concert last night was amazing.,0
I’m proud of myself for finishing my project.,0
Had a relaxing weekend at home.,0
I appreciate your help with the assignment.,0
Looking forward to my vacation next week.,0
I had a great time with my friends today.,0
The food at the new restaurant was delicious.,0
I enjoyed watching the movie last night.,0
It’s such a beautiful day outside.,0
I love spending time with my family.,0
The concert last night was amazing.,0
I’m proud of myself for finishing my project.,0
Had a relaxing weekend at home.,0
I appreciate your help with the assignment.,0
Looking forward to my vacation next week.,0
I had a great time with my friends today.,0
The food at the new restaurant was delicious.,0
I enjoyed watching the movie last night.,0
It’s such a beautiful day outside.,0
I love spending time with my family.,0
The concert last night was amazing.,0
I’m proud of myself for finishing my project.,0
Had a relaxing weekend at home.,0
I appreciate your help with the assignment.,0
Looking forward to my vacation next week.,0
I had a great time with my friends today.,0
The food at the new restaurant was delicious.,0
I enjoyed watching the movie last night.,0
It’s such a beautiful day outside.,0
I love spending time with my family.,0
The concert last night was amazing.,0
I’m proud of myself for finishing my project.,0
Had a relaxing weekend at home.,0
I appreciate your help with the assignment.,0
Looking forward to my vacation next week.,0
I had a great time with my friends today.,0
The food at the new restaurant was delicious.,0
I enjoyed watching the movie last night.,0
It’s such a beautiful day outside.,0
I love spending time with my family.,0
The concert last night was amazing.,0
I’m proud of myself for finishing my project.,0
Had a relaxing weekend at home.,0
I appreciate your help with the assignment.,0
Looking forward to my vacation next week.,0
I had a great time with my friends today.,0
The food at the new restaurant was delicious.,0
I enjoyed watching the movie last night.,0
It’s such a beautiful day outside.,0
I love spending time with my family.,0
The concert last night was amazing.,0
I’m proud of myself for finishing my project.,0
Had a relaxing weekend at home.,0
I appreciate your help with the assignment.,0
Looking forward to my vacation next week.,0
I had a great time with my friends today.,0
The food at the new restaurant was delicious.,0
I enjoyed watching the movie last night.,0
It’s such a beautiful day outside.,0
I love spending time with my family.,0
The concert last night was amazing.,0
I’m proud of myself for finishing my project.,0
Had a relaxing weekend at home.,0
I appreciate your help with the assignment.,0
Looking forward to my vacation next week.,0
I had a great time with my friends today.,0
The food at the new restaurant was delicious.,0
I enjoyed watching the movie last night.,0
It’s such a beautiful day outside.,0
I love spending time with my family.,0
The concert last night was amazing.,0
I’m proud of myself for finishing my project.,0
Had a relaxing weekend at home.,0
I appreciate your help with the assignment.,0
Looking forward to my vacation next week.,0
I had a great time with my friends today.,0
The food at the new restaurant was delicious.,0
I enjoyed watching the movie last night.,0
It’s such a beautiful day outside.,0
I love spending time with my family.,0
The concert last night was amazing.,0
I’m proud of myself for finishing my project.,0
Had a relaxing weekend at home.,0
I appreciate your help with the assignment.,0
Looking forward to my vacation next week.,0
I had a great time with my friends today.,0
The food at the new restaurant was delicious.,0
I enjoyed watching the movie last night.,0
It’s such a beautiful day outside.,0
I love spending time with my family.,0
The concert last night was amazing.,0
I’m proud of myself for finishing my project.,0
Had a relaxing weekend at home.,0
I appreciate your help with the assignment.,0
Looking forward to my vacation next week.,0
I had a great time with my friends today.,0
The food at the new restaurant was delicious.,0
I enjoyed watching the movie last night.,0
It’s such a beautiful day outside.,0
I love spending time with my family.,0
The concert last night was amazing.,0
I’m proud of myself for finishing my project.,0
Had a relaxing weekend at home.,0
I appreciate your help with the assignment.,0
Looking forward to my vacation next week.,0
I had a great time with my friends today.,0
The food at the new restaurant was delicious.,0
I enjoyed watching the movie last night.,0
It’s such a beautiful day outside.,0
I love spending time with my family.,0
The concert last night was amazing.,0
I’m proud of myself for finishing my project.,0
Had a relaxing weekend at home.,0
I appreciate your help with the assignment.,0
Looking forward to my vacation next week.,0
I had a great time with my friends today.,0
The food at the new restaurant was delicious.,0
I enjoyed watching the movie last night.,0
It’s such a beautiful day outside.,0
I love spending time with my family.,0
The concert last night was amazing.,0
I’m proud of myself for finishing my project.,0
Had a relaxing weekend at home.,0
I appreciate your help with the assignment.,0
Looking forward to my vacation next week.,0
I had a great time with my friends today.,0
The food at the new restaurant was delicious.,0
I enjoyed watching the movie last night.,0
It’s such a beautiful day outside.,0
I love spending time with my family.,0
The concert last night was amazing.,0
I’m proud of myself for finishing my project.,0
Had a relaxing weekend at home.,0
I appreciate your help with the assignment.,0
Looking forward to my vacation next week.,0
I had a great time with my friends today.,0
The food at the new restaurant was delicious.,0
I enjoyed watching the movie last night.,0
It’s such a beautiful day outside.,0
I love spending time with my family.,0
The concert last night was amazing.,0
I’m proud of myself for finishing my project.,0
Had a relaxing weekend at home.,0
I appreciate your help with the assignment.,0
Looking forward to my vacation next week.,0
I had a great time with my friends today.,0
The food at the new restaurant was delicious.,0
I enjoyed watching the movie last night.,0
It’s such a beautiful day outside.,0
I love spending time with my family.,0
The concert last night was amazing.,0
I’m proud of myself for finishing my project.,0
Had a relaxing weekend at home.,0
I appreciate your help with the assignment.,0
Looking forward to my vacation next week.,0
I had a great time with my friends today.,0
The food at the new restaurant was delicious.,0
I enjoyed watching the movie last night.,0
It’s such a beautiful day outside.,0
I love spending time with my family.,0
The concert last night was amazing.,0
I’m proud of myself for finishing my project.,0
Had a relaxing weekend at home.,0
I appreciate your help with the assignment.,0
Looking forward to my vacation next week.,0
I had a great time with my friends today.,0
The food at the new restaurant was delicious.,0
I enjoyed watching the movie last night.,0
It’s such a beautiful day outside.,0
I love spending time with my family.,0
The concert last night was amazing.,0
I’m proud of myself for finishing my project.,0
Had a relaxing weekend at home.,0
I appreciate your help with the assignment.,0
Looking forward to my vacation next week.,0
I had a great time with my friends today.,0
The food at the new restaurant was delicious.,0
I enjoyed watching the movie last night.,0
It’s such a beautiful day outside.,0
I love spending time with my family.,0
The concert last night was amazing.,0
I’m proud of myself for finishing my project.,0
Had a relaxing weekend at home.,0
I appreciate your help with the assignment.,0
Looking forward to my vacation next week.,0
I had a great time with my friends today.,0
The food at the new restaurant was delicious.,0
I enjoyed watching the movie last night.,0
It’s such a beautiful day outside.,0
I love spending time with my family.,0
The concert last night was amazing.,0
I’m proud of myself for finishing my project.,0
Had a relaxing weekend at home.,0
I appreciate your help with the assignment.,0
Looking forward to my vacation next week.,0
Wow net is too slow.,1
My phone died yesterday.,1
i love boring mondays.,1
i love going to college on mondays.,1
